user_id,latitude,longitude,hour,day_type,is_night,is_alone,crowd_density,lighting_condition,crime_area_score,phone_motion_status,walking_speed,distance_from_home,distance_from_safe_zone,battery_level,network_status,weather_condition,panic_button,unusual_movement,time_spent_at_location,nearest_trusted_contact_distance,night_risk_score,isolation_score,movement_risk_score,location_risk_score,emergency_score,total_risk_score,risk_level
U00076,20.906494,96.152293,3,0,1,1,medium,dark,0.318,stationary,1.68,1.11,1.04,92,3G,foggy,0,0,55,9.57,1.0,0.8,0.1,0.1731,0.0,0.4183,Medium Risk
U00077,28.212245,68.722572,13,0,0,0,high,dim,0.693,stationary,6.88,6.26,0.67,44,5G,clear,0,0,17,22.21,0.0,0.04,0.1,0.3741,0.0,0.1165,Safe
U00078,25.850058,75.57535,15,0,0,0,high,bright,0.075,stationary,7.48,0.78,1.19,27,3G,clear,0,0,11,7.25,0.0,0.04,0.1,0.052,0.0,0.036,Safe
U00079,19.857514,83.925537,14,0,0,1,low,dark,0.274,walking,1.47,2.8,3.1,90,3G,clear,0,1,9,8.62,0.4,1.0,0.2,0.1773,0.3,0.4143,Medium Risk
U00080,17.555592,85.965204,7,1,0,1,high,bright,0.375,running,7.12,13.05,0.62,14,5G,clear,0,0,6,4.77,0.0,0.64,0.6,0.2372,0.2,0.3173,Safe
U00081,28.3677,75.956324,13,0,0,0,medium,dim,0.23,stationary,7.34,21.08,9.7,29,4G,cloudy,0,0,22,0.32,0.0,0.2,0.1,0.2823,0.0,0.1256,Safe
U00082,16.724813,91.977248,22,0,1,1,medium,dark,0.505,walking,5.12,3.82,6.61,67,no_signal,clear,0,0,15,3.41,1.0,0.8,0.2,0.3313,0.0,0.4728,Medium Risk
U00083,29.26983,72.766086,7,0,0,1,high,bright,0.184,stationary,3.47,21.64,3.56,66,3G,cloudy,0,0,1,2.54,0.0,0.64,0.1,0.1997,0.0,0.1929,Safe
U00084,26.355763,68.024624,20,0,1,0,low,dark,0.395,walking,4.01,1.1,11.53,9,4G,clear,0,0,19,1.96,1.0,0.4,0.2,0.3165,0.2,0.4291,Medium Risk
U00085,23.597068,95.619351,15,0,0,0,low,bright,0.15,stationary,0.39,2.33,0.51,71,4G,rainy,0,0,3,1.88,0.0,0.4,0.1,0.0879,0.0,0.117,Safe
U00086,17.957624,79.355147,12,0,0,1,high,bright,0.295,stationary,3.44,7.24,2.72,26,5G,clear,0,0,23,0.4,0.0,0.64,0.1,0.1988,0.0,0.1927,Safe
U00087,13.537197,95.767204,17,0,0,0,low,dim,0.45,erratic,5.86,4.06,1.57,40,5G,clear,0,0,15,1.89,0.0,0.4,1.0,0.2542,0.0,0.2936,Safe
U00088,27.181335,76.060016,14,1,0,0,high,dim,0.366,walking,5.47,2.96,3.23,63,5G,foggy,0,0,13,2.51,0.0,0.04,0.2,0.2252,0.0,0.0943,Safe
U00089,10.466429,69.84001,20,0,1,1,medium,bright,0.474,stationary,0.34,15.86,6.64,61,4G,clear,0,0,2,4.86,0.6,0.8,0.1,0.3563,0.0,0.3841,Medium Risk
U00090,34.204641,90.403069,23,0,1,1,low,bright,0.24,walking,3.17,1.71,2.0,59,4G,rainy,0,0,6,7.3,0.6,1.0,0.2,0.1457,0.0,0.3864,Medium Risk
U00091,34.426194,92.238766,12,1,0,1,low,dim,0.269,walking,7.57,7.96,0.42,100,2G,rainy,0,0,1,2.56,0.0,1.0,0.2,0.1652,0.0,0.2713,Safe
U00092,11.516011,82.27052,8,0,0,1,low,bright,0.241,stationary,7.32,0.66,0.54,22,5G,foggy,0,0,34,1.91,0.0,1.0,0.1,0.1281,0.0,0.247,Safe
U00093,10.806254,70.14166,14,0,0,1,medium,bright,0.156,stationary,2.47,10.2,2.82,31,5G,cloudy,0,0,7,0.69,0.0,0.8,0.1,0.1402,0.0,0.2101,Safe
U00094,19.143352,86.969888,12,0,0,0,low,bright,0.405,walking,4.36,1.54,0.58,46,4G,clear,0,0,19,2.65,0.0,0.4,0.2,0.2134,0.0,0.1634,Safe
U00095,34.019448,73.282175,0,0,1,0,medium,dim,0.614,erratic,5.68,1.71,0.86,65,5G,foggy,0,0,4,1.34,0.6,0.2,1.0,0.3213,0.0,0.3903,Medium Risk
U00096,18.808394,92.632065,6,0,0,0,low,bright,0.416,walking,0.27,3.38,2.95,92,5G,clear,0,0,19,2.46,0.0,0.4,0.2,0.2488,0.0,0.1722,Safe
U00097,17.822657,75.94667,8,0,0,1,high,bright,0.433,stationary,2.12,0.32,0.1,71,4G,clear,0,0,68,5.0,0.0,0.64,0.1,0.2186,0.0,0.1976,Safe
U00098,26.996797,92.583485,23,0,1,1,high,dim,0.297,stationary,5.08,0.32,5.48,65,4G,cloudy,0,0,6,9.84,0.6,0.64,0.1,0.2044,0.0,0.3141,Safe
U00099,12.825743,80.380812,0,0,1,0,medium,dim,0.383,walking,6.18,11.1,7.98,16,4G,rainy,0,0,1,11.09,0.6,0.2,0.2,0.3083,0.2,0.3071,Safe
U00100,17.809734,85.298147,11,0,0,0,high,bright,0.153,running,1.32,2.94,2.78,38,4G,clear,0,1,19,0.66,0.0,0.04,0.6,0.1141,0.3,0.1865,Safe
U00101,15.865301,90.897313,7,0,0,1,medium,bright,0.197,stationary,2.97,0.01,3.98,24,4G,clear,1,0,5,0.27,0.0,0.8,0.1,0.1383,0.5,0.3096,Emergency
U00102,24.241435,69.172738,23,1,1,0,low,dark,0.176,stationary,0.8,4.01,1.23,47,3G,clear,0,0,15,0.31,1.0,0.4,0.1,0.1137,0.0,0.3234,Safe
U00103,12.394328,91.813814,10,1,0,0,low,bright,0.136,walking,1.24,4.07,3.59,88,4G,rainy,0,0,14,13.09,0.0,0.4,0.2,0.1175,0.0,0.1394,Safe
U00104,22.814934,72.020793,18,1,0,1,medium,dim,0.19,walking,0.97,6.37,1.0,42,3G,clear,0,0,2,4.15,0.0,0.8,0.2,0.1262,0.0,0.2216,Safe
U00105,31.153758,78.394132,16,0,0,1,low,dim,0.454,stationary,7.08,12.0,0.67,5,5G,clear,0,0,21,3.92,0.0,1.0,0.1,0.2737,0.2,0.3234,Safe
U00106,21.882605,81.71065,7,0,0,0,high,bright,0.283,walking,4.34,8.0,8.69,97,4G,rainy,1,0,65,16.12,0.0,0.04,0.2,0.2551,0.5,0.2018,Emergency
U00107,26.454409,93.967371,2,0,1,1,high,dim,0.086,walking,0.11,7.17,6.04,68,5G,clear,0,0,18,0.14,0.6,0.64,0.2,0.1273,0.0,0.3098,Safe
U00108,10.031696,68.650778,2,0,1,1,medium,dark,0.459,erratic,2.42,1.38,3.13,11,5G,clear,0,0,8,0.73,1.0,0.8,1.0,0.2654,0.2,0.6164,High Risk
U00109,20.123151,84.216876,0,0,1,0,medium,dark,0.188,running,0.03,2.05,0.85,39,5G,clear,0,0,67,0.72,1.0,0.2,0.6,0.1093,0.0,0.3573,Medium Risk
U00110,10.562116,86.633153,4,0,1,1,low,bright,0.186,stationary,3.69,8.94,4.21,61,4G,clear,0,0,25,1.16,0.6,1.0,0.1,0.1649,0.0,0.3762,Medium Risk
U00111,24.185465,77.180887,9,0,0,1,low,dim,0.207,stationary,4.02,0.33,7.71,11,4G,clear,0,0,5,0.01,0.0,1.0,0.1,0.1817,0.2,0.3004,Safe
U00112,15.588468,76.424116,6,0,0,0,medium,dim,0.179,stationary,3.84,0.6,2.46,54,4G,clear,0,0,21,5.9,0.0,0.2,0.1,0.1161,0.0,0.084,Safe
U00113,15.756177,82.223606,8,1,0,1,medium,bright,0.079,stationary,4.94,2.52,7.92,16,2G,clear,0,1,2,6.2,0.0,0.8,0.1,0.1271,0.5,0.3068,Safe
U00114,10.072702,73.425912,6,0,0,0,medium,bright,0.423,stationary,5.64,2.97,2.98,26,4G,clear,0,1,16,3.07,0.0,0.2,0.1,0.2512,0.3,0.1778,Safe
U00115,16.376422,81.575449,8,0,0,0,low,dark,0.069,walking,5.16,3.54,7.74,6,3G,stormy,0,1,14,2.14,0.4,0.4,0.2,0.1237,0.5,0.3209,Safe
U00116,21.680284,90.185734,7,0,0,0,medium,dim,0.182,stationary,7.73,10.09,1.79,36,4G,foggy,0,0,10,3.88,0.0,0.2,0.1,0.1425,0.0,0.0906,Safe
U00117,23.785823,92.51647,11,0,0,1,high,bright,0.283,running,7.78,3.85,2.36,32,4G,clear,0,0,95,0.3,0.0,0.64,0.6,0.1779,0.0,0.2625,Safe
U00118,9.79997,79.16968,1,0,1,0,medium,dim,0.302,stationary,1.67,0.41,12.91,86,4G,clear,0,1,21,0.35,0.6,0.2,0.1,0.2815,0.3,0.3054,Safe
U00119,25.589398,85.90175,0,0,1,1,medium,dim,0.141,walking,0.75,1.28,2.92,99,5G,clear,0,0,11,6.46,0.6,0.8,0.2,0.104,0.0,0.336,Safe
U00120,21.199646,68.000595,15,0,0,1,low,bright,0.216,stationary,4.01,8.05,2.07,62,3G,stormy,0,1,26,10.73,0.0,1.0,0.1,0.1555,0.3,0.3139,Safe
U00121,22.496516,83.960222,22,1,1,0,low,dim,0.464,walking,5.8,14.25,0.1,67,4G,clear,0,0,5,0.16,0.6,0.4,0.2,0.2805,0.0,0.3001,Safe
U00122,30.48551,96.281853,22,1,1,1,medium,dark,0.154,walking,7.81,2.56,1.67,54,4G,stormy,0,0,1,1.23,1.0,0.8,0.2,0.1022,0.0,0.4156,Medium Risk
U00123,17.240114,77.055686,23,1,1,0,low,dark,0.536,stationary,3.56,2.64,0.08,44,3G,cloudy,0,0,27,9.9,1.0,0.4,0.1,0.2776,0.0,0.3644,Medium Risk
U00124,12.69938,85.248508,4,1,1,0,high,dark,0.083,walking,1.16,15.63,0.35,35,4G,clear,0,0,32,11.88,1.0,0.04,0.2,0.0971,0.0,0.2623,Safe
U00125,22.898875,90.106226,2,0,1,0,low,dark,0.205,walking,4.12,6.1,1.07,93,5G,clear,0,1,6,1.83,1.0,0.4,0.2,0.1335,0.3,0.4034,Medium Risk
U00126,33.515592,85.659058,11,0,0,1,medium,dim,0.219,walking,2.61,0.29,0.58,88,4G,rainy,0,0,34,2.04,0.0,0.8,0.2,0.1163,0.0,0.2191,Safe
U00127,21.98248,80.136499,7,0,0,0,medium,bright,0.05,stationary,2.72,5.38,1.58,86,4G,rainy,0,0,14,1.19,0.0,0.2,0.1,0.0587,0.0,0.0697,Safe
U00128,30.461629,72.424692,21,0,1,1,low,dark,0.136,walking,3.79,4.57,3.14,75,4G,clear,0,0,62,2.2,1.0,1.0,0.2,0.1146,0.0,0.4587,Medium Risk
U00129,28.439865,81.447341,2,0,1,0,high,dark,0.488,walking,1.11,0.46,1.07,52,4G,rainy,0,0,7,1.14,1.0,0.04,0.2,0.2562,0.0,0.3021,Safe
U00130,21.994931,76.548742,0,1,1,0,high,bright,0.274,erratic,0.55,2.27,2.03,35,4G,clear,0,0,15,0.49,0.6,0.04,1.0,0.1649,0.0,0.3192,Safe
U00131,25.483979,88.181688,2,0,1,0,medium,dim,0.474,stationary,4.81,0.98,5.89,36,4G,clear,1,1,18,3.49,0.6,0.2,0.1,0.2992,0.8,0.4098,Emergency
U00132,18.980365,80.81547,4,0,1,1,medium,dim,0.408,running,2.27,1.81,6.32,29,3G,rainy,1,0,1,4.27,0.6,0.8,0.6,0.2732,0.5,0.5383,Emergency
U00133,22.326975,92.646513,14,0,0,0,medium,bright,0.316,stationary,5.74,1.48,3.43,58,3G,cloudy,0,0,6,6.86,0.0,0.2,0.1,0.1972,0.0,0.1043,Safe
U00134,21.696715,73.606351,13,1,0,0,medium,bright,0.107,walking,5.39,3.64,3.39,13,5G,cloudy,0,0,15,3.36,0.0,0.2,0.2,0.0995,0.2,0.1349,Safe
U00135,27.14598,80.113884,2,0,1,0,medium,dim,0.609,walking,6.25,2.11,2.23,65,4G,rainy,0,0,14,1.85,0.6,0.2,0.2,0.3338,0.0,0.2735,Safe
U00136,19.069496,84.167644,0,1,1,1,high,bright,0.301,running,0.42,4.79,4.71,77,5G,clear,0,0,18,2.55,0.6,0.64,0.6,0.2136,0.0,0.3914,Medium Risk
U00137,10.693712,71.654426,4,1,1,0,high,dark,0.291,stationary,0.49,4.7,0.98,97,5G,cloudy,0,0,3,1.2,1.0,0.04,0.1,0.171,0.0,0.2657,Safe
U00138,29.295157,85.049392,22,1,1,0,medium,dark,0.334,running,0.13,0.61,10.17,97,4G,cloudy,0,0,4,6.77,1.0,0.2,0.6,0.2707,0.0,0.3977,Medium Risk
U00139,26.491031,76.436721,13,1,0,0,low,dark,0.166,stationary,3.65,10.94,0.84,55,4G,clear,0,0,4,0.69,0.4,0.4,0.1,0.1279,0.0,0.207,Safe
U00140,33.653333,74.656578,6,1,0,1,low,bright,0.241,walking,1.19,3.08,4.63,34,no_signal,cloudy,0,0,4,6.43,0.0,1.0,0.2,0.1771,0.0,0.2743,Safe
U00141,19.575337,72.115411,8,0,0,1,medium,dim,0.192,running,6.63,0.17,4.71,53,4G,foggy,0,0,20,0.13,0.0,0.8,0.6,0.1437,0.0,0.2859,Safe
U00142,10.111553,78.146576,14,0,0,1,high,bright,0.082,walking,4.69,0.92,4.92,93,3G,cloudy,0,0,6,0.8,0.0,0.64,0.2,0.0933,0.0,0.1813,Safe
